0.069,0.034,-0.000,0.017,-0.000,0.0,0.0,0.074,0.006,0.067,0.395,-1.500
0.075,0.0380.299,0.061,-0.000,0.015,-0.000,0.0,0.2,-0.029,-0.007,-0.023,0.000,-0.191
0.399,0.061,-0.000,0.015,-0.000,0.0,0.2,0.011,-0.004,0.016,0.000,-0.044
0.501,0.061,-0.000,0.016,-0.000,0.0,0.2,-0.001,-0.005,0.012,0.000,-0.157
0.601,0.061,-0.000,0.017,-0.000,0.0,0.2,0.002,-0.005,0.001,0.000,-0.369
0.701,0.061,-0.000,0.017,-0.000,0.0,0.2,0.005,-0.005,0.006,0.000,-0.464
0.801,0.061,-0.000,0.018,-0.000,0.0,0.2,0.008,-0.004,0.012,0.000,-0.524
0.901,0.061,-0.000,0.020,-0.000,0.0,0.2,0.004,-0.004,0.014,0.000,-0.600
0.999,0.061,-0.000,0.021,-0.000,0.0,0.2,0.002,-0.004,0.014,0.000,-0.690
1.101,0.061,-0.000,0.023,-0.000,0.0,0.2,0.004,-0.004,0.017,0.000,-0.739
1.201,0.061,-0.000,0.024,-0.000,0.0,0.2,0.009,-0.003,0.017,0.000,-0.807
1.301,0.061,-0.000,0.026,-0.000,0.0,0.2,0.010,-0.003,0.020,0.000,-0.830
1.401,0.061,-0.000,0.029,-0.000,0.0,0.1,0.005,-0.003,0.022,0.000,-0.850
1.501,0.061,-0.000,0.031,-0.000,0.0,0.1,0.004,-0.003,0.023,0.000,-0.872
1.601,0.061,-0.000,0.033,-0.000,0.0,0.1,0.011,-0.002,0.024,0.000,-0.879
1.701,0.061,-0.000,0.036,-0.000,0.0,0.1,0.005,-0.002,0.024,0.000,-0.890
1.801,0.061,-0.000,0.038,-0.000,0.0,0.1,-0.006,-0.002,0.025,0.000,-0.882
1.901,0.061,-0.000,0.041,-0.000,0.0,0.1,0.010,-0.001,0.024,0.000,-0.879
2.001,0.061,-0.000,0.043,-0.000,0.0,0.0,0.008,-0.000,0.024,0.000,-0.863
2.101,0.068,-0.000,0.048,-0.000,0.0,-0.9,0.635,0.068,0.153,0.274,-1.500
2.201,0.117,0.002,0.090,-0.001,6.4,0.2,0.547,0.189,0.662,0.739,-1.500
2.299,0.204,0.020,0.173,0.007,16.3,12.1,-0.790,0.070,1.159,1.130,-0.629
2.401,0.336,0.070,0.298,0.053,24.2,25.8,-0.703,-0.090,1.603,1.595,-0.454
2.501,0.498,0.151,0.463,0.142,29.1,28.5,1.379,0.076,2.053,2.053,-1.181
2.601,0.689,0.265,0.659,0.247,31.8,29.7,-1.205,-0.020,2.376,2.395,-1.488
2.701,0.893,0.388,0.867,0.375,30.1,31.8,0.801,-0.002,2.421,2.321,-0.493
2.801,1.084,0.501,1.067,0.489,31.3,29.1,-1.089,-0.010,2.194,2.092,-0.181
2.901,1.253,0.602,1.230,0.591,29.5,32.5,0.608,-0.047,1.853,1.835,-0.160
3.001,1.404,0.683,1.381,0.676,27.0,27.1,0.178,-0.009,1.707,1.587,-0.097
3.101,1.538,0.748,1.519,0.741,24.4,24.0,-0.256,-0.019,1.577,1.395,0.000
3.201,1.662,0.795,1.649,0.796,14.4,20.0,-0.853,-0.225,1.471,1.261,0.000
3.301,1.798,0.812,1.799,0.824,0.7,0.6,1.960,0.098,1.552,1.520,-1.425
3.401,1.965,0.800,1.968,0.800,-9.0,-13.4,0.124,0.117,1.850,1.860,-1.497
3.501,2.159,0.753,2.157,0.740,-18.4,-19.5,-1.314,-0.009,2.110,2.110,-1.395
3.599,2.345,0.675,2.357,0.660,-28.0,-25.4,-0.053,-0.058,2.202,2.136,-0.710
3.699,2.523,0.560,2.546,0.548,-38.2,-36.7,0.354,-0.049,2.175,2.080,-0.245
3.801,2.677,0.419,2.699,0.407,-46.9,-47.7,-0.042,-0.022,1.921,1.873,-0.277
3.901,2.788,0.283,2.810,0.271,-54.8,-54.4,-0.112,-0.073,1.681,1.641,-0.202
4.001,2.870,0.152,2.890,0.143,-61.4,-62.2,0.234,-0.024,1.450,1.436,-0.339
4.101,2.926,0.029,2.946,0.019,-72.1,-69.2,-1.029,-0.222,1.224,1.281,-0.841
4.201,2.947,-0.092,2.972,-0.095,-89.5,-86.7,0.517,-0.147,1.155,1.195,-0.759
4.299,2.932,-0.203,2.958,-0.202,-107.5,-108.5,0.665,-0.056,1.106,1.184,-1.254
4.399,2.877,-0.313,2.898,-0.305,-125.1,-130.1,0.806,0.121,1.347,1.308,-0.533
4.501,2.777,-0.425,2.789,-0.400,-138.5,-144.9,-0.436,0.184,1.602,1.598,-1.033
4.601,2.636,-0.529,2.639,-0.496,-148.0,-149.0,-1.092,0.067,1.920,1.931,-1.343
4.699,2.468,-0.621,2.462,-0.595,-153.3,-152.4,0.520,0.131,2.102,2.023,-0.670
4.801,2.291,-0.721,2.282,-0.692,-146.2,-147.9,-1.004,0.104,1.881,1.832,-0.640
4.901,2.152,-0.823,2.153,-0.800,-142.2,-133.7,-0.374,-0.187,1.547,1.590,-1.306
4.999,2.044,-0.915,2.052,-0.901,-134.4,-135.9,1.708,0.204,1.519,1.405,0.000
5.101,1.959,-1.026,1.961,-1.009,-118.5,-121.3,-0.257,0.094,1.191,1.263,-1.411
5.199,1.919,-1.133,1.919,-1.111,-101.7,-103.2,-0.102,0.071,1.094,1.168,-1.451
5.301,1.914,-1.254,1.913,-1.222,-81.3,-83.2,0.048,0.049,1.099,1.155,-1.448
