0.393,0.001,-0.000,0.000,-0.000,0.0,0.1,0.001,-0.001,0.002,0.000,-0.129
0.493,0.001,-0.000,0.000,-0.000,0.0,0.1,0.002,-0.002,-0.000,0.000,-0.151
0.595,0.001,-0.000,0.000,-0.000,0.0,0.1,0.001,-0.002,0.000,0.000,-0.143
0.695,0.001,-0.000,0.001,-0.000,0.0,0.1,-0.001,-0.002,0.000,0.000,-0.148
0.793,0.001,-0.000,0.001,-0.000,0.0,0.1,-0.002,-0.003,0.000,0.000,-0.149
0.893,0.001,-0.000,0.001,-0.000,0.0,0.2,-0.001,-0.003,0.000,0.000,-0.151
0.995,0.001,-0.000,0.001,-0.000,0.0,0.2,-0.001,-0.004,0.000,0.000,-0.152
1.095,0.001,-0.000,0.001,-0.000,0.0,0.2,-0.001,-0.004,0.000,0.000,-0.154
1.195,0.001,-0.000,0.001,-0.000,0.0,0.2,-0.001,-0.004,0.000,0.000,-0.155
1.293,0.001,-0.000,0.001,-0.000,0.0,0.2,-0.002,-0.005,0.000,0.000,-0.157
1.395,0.001,-0.000,0.001,-0.000,0.0,0.2,-0.001,-0.005,0.000,0.000,-0.158
1.495,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.005,0.000,0.000,-0.160
1.595,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.006,0.000,0.000,-0.161
1.695,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.006,0.000,0.000,-0.163
1.795,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.006,0.000,0.000,-0.164
1.895,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.006,0.000,0.000,-0.166
1.995,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.007,0.000,0.000,-0.167
2.095,0.001,-0.000,0.001,-0.000,0.0,0.3,0.001,-0.007,0.000,0.000,-0.169
2.195,0.001,-0.000,0.001,-0.000,0.0,0.3,-0.001,-0.007,0.000,0.000,-0.170
2.295,0.001,-0.000,0.001,-0.000,0.0,0.4,-0.001,-0.007,0.000,0.000,-0.172
